country,country_code,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet,percentage,category
Dominica                        ,DMA,2018,71626.0,7745.4,6795.1,4.146,1492.6,19.27079298680507,Cheap
Dominica                        ,DMA,2019,71808.0,8516.3,3972.85,4.236,1525.0,17.906837476368846,Cheap
Dominica                        ,DMA,2020,71991.0,7003.9,3972.85,4.345,1564.2,22.33327146304202,Medium
Dominican Republic              ,DOM,2017,10513111.0,7609.4,5284.7,3.521,1267.6,16.65834362761847,Cheap
Dominican Republic              ,DOM,2018,10627147.0,8050.6,5498.4,3.608,1298.9,16.134201177551986,Cheap
Dominican Republic              ,DOM,2019,10738957.0,8282.1,5615.3,3.744,1347.8,16.27365040267565,Cheap
Dominican Republic              ,DOM,2020,10847904.0,7268.2,5065.5,3.884,1398.2,19.237225172669987,Cheap
Ecuador                         ,ECU,2017,16785356.0,6213.5,3722.2,2.788,1003.7,16.153536654059707,Cheap
Ecuador                         ,ECU,2018,17084359.0,6295.9,3758.0,2.816,1013.8,16.10254292476056,Cheap
Ecuador                         ,ECU,2019,17373657.0,6222.5,3712.3,2.861,1030.0,16.55283246283648,Cheap
Ecuador                         ,ECU,2020,17643060.0,5627.8,3334.8,2.928,1054.1,18.73023206226234,Cheap
Equatorial Guinea               ,GNQ,2017,1262008.0,9667.9,4553.8,3.526,1269.4,13.130048924792357,Cheap
Equatorial Guinea               ,GNQ,2018,1308966.0,10005.6,4853.3,3.599,1295.6,12.948748700727592,Cheap
Equatorial Guinea               ,GNQ,2019,1355982.0,8380.7,4721.1,3.635,1308.6,15.614447480520719,Cheap
Equatorial Guinea               ,GNQ,2020,1402985.0,7198.3,4928.9,3.676,1323.4,18.384896433880222,Cheap
Estonia                         ,EST,2017,1317384.0,20437.8,10264.6,3.125,1125.0,5.504506355870006,Very Cheap
Estonia                         ,EST,2018,1321977.0,23063.6,11567.8,3.188,1147.7,4.976239615671449,Very Cheap
Estonia                         ,EST,2019,1326855.0,23397.9,11659.8,3.17,1141.2,4.877360788788737,Very Cheap
Estonia                         ,EST,2020,1329479.0,23054.4,11479.4,3.308,1190.9,5.1656083003678255,Very Cheap
Eswatini                        ,SWZ,2017,1124808.0,3914.4,2566.9,3.428,1234.1,31.527181688125893,Expensive
Eswatini                        ,SWZ,2018,1136274.0,4107.1,2694.9,3.349,1205.6,29.354045433517562,Medium
Eswatini                        ,SWZ,2019,1148133.0,3889.9,2500.5,3.395,1222.2,31.419830843980566,Expensive
Eswatini                        ,SWZ,2020,1160164.0,3434.7,2251.9,3.391,1220.8,35.54313331586456,Expensive
Ethiopia                        ,ETH,2017,106399926.0,768.5,511.3,3.108,1118.9,145.5953155497723,Very Expensive
Ethiopia                        ,ETH,2018,109224410.0,771.5,506.6,3.147,1132.9,146.84381075826315,Very Expensive
Ethiopia                        ,ETH,2019,112078727.0,855.8,587.8,3.29,1184.4,138.39682168731014,Very Expensive
Ethiopia                        ,ETH,2020,114963583.0,936.5,655.9,3.366,1211.8,129.39668980245597,Very Expensive
Fiji                            ,FJI,2017,877460.0,6101.0,3721.7,3.612,1300.3,21.312899524668087,Medium
Fiji                            ,FJI,2018,883490.0,6317.4,3817.8,3.677,1323.7,20.953240257067783,Medium
Fiji                            ,FJI,2019,889955.0,6175.9,3806.2,3.858,1388.9,22.489029938956268,Medium
Fiji                            ,FJI,2020,896444.0,5102.8,3199.4,3.914,1409.0,27.61229129105589,Medium
Finland                         ,FIN,2017,5508214.0,46412.1,24672.6,2.545,916.2,1.9740541798367237,Very Cheap
Finland                         ,FIN,2018,5515525.0,49988.9,26536.7,2.624,944.6,1.8896194955280072,Very Cheap
Finland                         ,FIN,2019,5521606.0,48628.6,25562.2,2.611,940.0,1.9330188407644884,Very Cheap
Finland                         ,FIN,2020,5529543.0,49160.8,25097.8,2.712,976.3,1.985931880685424,Very Cheap
France                          ,FRA,2017,66918020.0,38781.0,20935.7,2.936,1057.0,2.7255614862948354,Very Cheap
France                          ,FRA,2018,67101930.0,41592.8,22410.9,3.019,1086.8,2.612952241734146,Very Cheap
France                          ,FRA,2019,67248926.0,40578.6,21753.9,3.067,1104.1,2.720892292982015,Very Cheap
France                          ,FRA,2020,67379908.0,39037.1,20743.7,3.219,1158.8,2.9684582102666437,Very Cheap
Gabon                           ,GAB,2017,2064812.0,7230.4,2890.0,3.358,1208.9,16.719683558309363,Cheap
Gabon                           ,GAB,2018,2119275.0,7959.0,3073.3,3.403,1225.1,15.392637265988188,Cheap
Gabon                           ,GAB,2019,2172578.0,7767.0,2926.1,3.485,1254.6,16.152954808806488,Cheap
Gabon                           ,GAB,2020,2225728.0,6881.7,2887.1,3.552,1278.7,18.581164537832223,Cheap
Germany                         ,DEU,2017,82657002.0,44652.6,23267.8,2.786,1003.0,2.246229782812199,Very Cheap
Germany                         ,DEU,2018,82905782.0,47973.6,24957.2,2.917,1050.1,2.1889122350626176,Very Cheap
Germany                         ,DEU,2019,83092962.0,46794.9,24289.8,2.881,1037.2,2.2164808558197584,Very Cheap
Germany                         ,DEU,2020,83160871.0,46252.7,23458.7,3.025,1089.0,2.3544571452044964,Very Cheap
Ghana                           ,GHA,2017,29121464.0,2074.3,1560.8,3.767,1356.1,65.37627151328158,Very Expensive
Ghana                           ,GHA,2018,29767108.0,2260.9,1611.9,3.86,1389.6,61.46224954664071,Very Expensive
Ghana                           ,GHA,2019,30417858.0,2246.6,1689.9,3.941,1418.8,63.15320929404433,Very Expensive
Ghana                           ,GHA,2020,31072945.0,2254.2,1581.7,4.033,1451.9,64.40865939135836,Very Expensive
Greece                          ,GRC,2017,10754679.0,18582.1,12820.7,3.037,1093.3,5.883619181900862,Very Cheap
Greece                          ,GRC,2018,10732882.0,19757.0,13679.5,3.102,1116.7,5.6521739130434785,Very Cheap
Greece                          ,GRC,2019,10721582.0,19133.8,13218.9,3.065,1103.4,5.76675830206232,Very Cheap
Greece                          ,GRC,2020,10700556.0,17647.2,12325.5,3.13,1126.8,6.385148918808649,Very Cheap
Grenada                         ,GRD,2017,110874.0,10152.8,3972.85,5.382,1937.5,19.083405562997402,Cheap
Grenada                         ,GRD,2018,111449.0,10466.9,3972.85,5.536,1993.0,19.040976793510975,Cheap
Grenada                         ,GRD,2019,112002.0,10834.5,3972.85,5.625,2025.0,18.690294891319397,Cheap
Grenada                         ,GRD,2020,112519.0,9273.2,3972.85,5.796,2086.6,22.501401889315446,Medium
Guinea                          ,GIN,2017,12067516.0,855.6,632.9,3.655,1315.8,153.78681626928469,Very Expensive
Guinea                          ,GIN,2018,12414292.0,955.1,698.6,3.863,1390.7,145.60778976023454,Very Expensive
Guinea                          ,GIN,2019,12771246.0,1052.6,757.1,4.001,1440.4,136.84210526315792,Very Expensive
Guinea                          ,GIN,2020,13132792.0,1079.0,662.0,4.127,1485.7,137.69230769230768,Very Expensive
Guinea-Bissau                   ,GNB,2017,1828146.0,738.5,642.5,3.164,1139.0,154.23155044008126,Very Expensive
Guinea-Bissau                   ,GNB,2018,1874304.0,802.8,606.8,3.254,1171.4,145.9142999501744,Very Expensive
Guinea-Bissau                   ,GNB,2019,1920917.0,749.5,597.3,3.335,1200.6,160.1867911941294,Very Expensive
Guinea-Bissau                   ,GNB,2020,1967998.0,727.5,593.7,3.505,1261.8,173.44329896907215,Very Expensive
Guyana                          ,GUY,2017,775218.0,6125.0,3972.85,4.629,1666.4,27.2065306122449,Medium
Guyana                          ,GUY,2018,779007.0,6145.8,3972.85,4.742,1707.1,27.776693026131667,Medium
Guyana                          ,GUY,2019,782775.0,6609.5,3972.85,4.828,1738.1,26.296996747106437,Medium
Guyana                          ,GUY,2020,786559.0,6955.9,3972.85,4.889,1760.0,25.302261389611697,Medium
Haiti                           ,HTI,2017,10982367.0,1369.1,1307.1,3.93,1414.8,103.33795924329851,Very Expensive
Haiti                           ,HTI,2018,11123183.0,1479.3,1459.9,4.075,1467.0,99.16852565402556,Very Expensive
Haiti                           ,HTI,2019,11263079.0,1312.8,1287.9,4.275,1539.0,117.23034734917735,Very Expensive
Haiti                           ,HTI,2020,11402533.0,1272.4,1235.4,4.49,1616.4,127.03552342030808,Very Expensive
Honduras                        ,HND,2017,9429016.0,2453.7,1896.9,3.36,1209.6,49.296980070913314,Expensive
Honduras                        ,HND,2018,9587523.0,2510.3,2023.5,3.415,1229.4,48.97422618810501,Expensive
Honduras                        ,HND,2019,9746115.0,2574.4,2110.2,3.404,1225.4,47.59944064636421,Expensive
Honduras                        ,HND,2020,9904608.0,2405.7,1963.6,3.486,1255.0,52.167768217150936,Very Expensive
Hungary                         ,HUN,2017,9787966.0,14623.7,7326.7,3.302,1188.7,8.128585788822255,Very Cheap
Hungary                         ,HUN,2018,9775564.0,16427.4,8091.4,3.383,1217.9,7.41383298635207,Very Cheap
Hungary                         ,HUN,2019,9771141.0,16735.7,8263.0,3.368,1212.5,7.2449912462579995,Very Cheap
Hungary                         ,HUN,2020,9750149.0,16076.0,7975.3,3.488,1255.7,7.81102264244837,Very Cheap
Iceland                         ,ISL,2017,343400.0,72010.1,36074.0,2.213,796.7,1.106372578291101,Very Cheap
Iceland                         ,ISL,2018,352721.0,74469.8,37433.5,2.247,808.9,1.086212128943545,Very Cheap
Iceland                         ,ISL,2019,360563.0,68941.5,34373.2,2.234,804.2,1.166496232312903,Very Cheap
Iceland                         ,ISL,2020,366463.0,59264.0,30431.1,2.414,869.0,1.4663201943844493,Very Cheap
India                           ,IND,2017,1338676779.0,1980.7,1163.1,2.824,1016.6,51.32528903922856,Very Expensive
India                           ,IND,2018,1352642283.0,1998.3,1184.7,2.83,1018.8,50.98333583546014,Very Expensive
India                           ,IND,2019,1366417756.0,2072.2,1263.2,2.877,1035.7,49.98069684393399,Expensive
India                           ,IND,2020,1380004385.0,1933.1,1174.7,2.97,1069.2,55.3101236356112,Very Expensive
Indonesia                       ,IDN,2017,264650969.0,3837.6,2198.0,4.129,1486.4,38.732541171565565,Expensive
