country,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet
Germany                         ,2019,74168669.625,46794.9,22204.025,2.881,1037.2
Germany                         ,2020,74168669.625,46252.7,22204.025,3.025,1089.0
Ghana                           ,2017,29121464.0,2074.3,1560.8,3.767,1356.1
Ghana                           ,2018,29767108.0,2260.9,1611.9,3.86,1389.6
Ghana                           ,2019,30417858.0,2246.6,1689.9,3.941,1418.8
Ghana                           ,2020,31072945.0,2254.2,1581.7,4.033,1451.9
Greece                          ,2017,10754679.0,18582.1,12820.7,3.037,1093.3
Greece                          ,2018,10732882.0,19757.0,13679.5,3.102,1116.7
Greece                          ,2019,10721582.0,19133.8,13218.9,3.065,1103.4
Greece                          ,2020,10700556.0,17647.2,12325.5,3.13,1126.8
Grenada                         ,2017,110874.0,10152.8,4079.8,5.382,1937.5
Grenada                         ,2018,111449.0,10466.9,4079.8,5.536,1993.0
Grenada                         ,2019,112002.0,10834.5,4079.8,5.625,2025.0
Grenada                         ,2020,112519.0,9273.2,4079.8,5.796,2086.6
Guinea                          ,2017,12067516.0,855.6,632.9,3.655,1315.8
Guinea                          ,2018,12414292.0,955.1,698.6,3.863,1390.7
Guinea                          ,2019,12771246.0,1052.6,757.1,4.001,1440.4
Guinea                          ,2020,13132792.0,1079.0,662.0,4.127,1485.7
Guinea-Bissau                   ,2017,1828146.0,738.5,642.5,3.164,1139.0
Guinea-Bissau                   ,2018,1874304.0,802.8,606.8,3.254,1171.4
Guinea-Bissau                   ,2019,1920917.0,749.5,597.3,3.335,1200.6
Guinea-Bissau                   ,2020,1967998.0,727.5,593.7,3.505,1261.8
Guyana                          ,2017,775218.0,6125.0,4079.8,4.629,1666.4
Guyana                          ,2018,779007.0,6145.8,4079.8,4.742,1707.1
Guyana                          ,2019,782775.0,6609.5,4079.8,4.828,1738.1
Guyana                          ,2020,786559.0,6955.9,4079.8,4.889,1760.0
Haiti                           ,2017,10982367.0,1369.1,1307.1,3.93,1414.8
Haiti                           ,2018,11123183.0,1479.3,1459.9,4.075,1467.0
Haiti                           ,2019,11263079.0,1312.8,1287.9,4.275,1539.0
Haiti                           ,2020,11402533.0,1272.4,1235.4,4.49,1616.4
Honduras                        ,2017,9429016.0,2453.7,1896.9,3.36,1209.6
